"geneA","geneB","iRef","GEO","GO","pathW"
"1","1","3","0.8603","0.8787","0.9794","0.9321"
"2","1","5","0.9315","0.6920","0.8477","0.7955"
"3","1","11","0.8558","0.8697","0.7098","0.9296"
"4","1","14","0.8438","0.9030","0.8892","0.9731"
"5","1","16","0.7343","0.6815","0.8289","0.8476"
"6","1","17","0.9855","0.8820","0.9219","0.7744"
"7","1","24","0.6658","0.7658","0.7259","0.5774"
"8","1","224","0.9020","0.9686","0.9575","0.9588"
"9","1","243","0.8244","0.3982","0.6934","0.2484"
"10","1","348","0.8194","0.9765","0.8514","0.9794"
"11","1","449","0.9254","0.4462","0.8039","0.8004"
"12","1","553","0.4867","0.5801","0.9068","0.7157"
"13","1","608","0.9667","0.9924","0.9903","0.9854"
"14","1","694","0.7789","0.4938","0.8224","0.3677"
"15","1","721","0.3090","0.8090","0.4080","0.7207"
"16","1","785","0.7069","0.8448","0.6950","0.8795"
"17","1","794","0.9665","0.9641","0.9472","0.8720"
"18","1","830","0.8105","0.7323","0.8795","0.5979"
"19","1","898","0.6838","0.6004","0.4842","0.7754"
"20","1","962","0.6252","0.5147","0.5356","0.7240"
"21","1","1001","0.8729","0.6529","0.9007","0.9143"
"22","1","1121","0.9418","0.8836","0.9198","0.7808"
"23","1","1208","0.5866","0.9501","0.9503","0.9554"
"24","1","1430","0.8312","0.6409","0.6705","0.5413"
"25","1","1573","0.6194","0.7084","0.4701","0.8446"
"26","1","1748","0.8577","0.6994","0.2661","0.7487"
"27","2","4","0.6207","0.7619","0.4604","0.8041"
"28","2","8","0.9034","0.9387","0.9677","0.9166"
"29","2","11","0.7159","0.8254","0.7638","0.7302"
"30","2","14","0.8625","0.8929","0.5863","0.5726"
"31","2","17","0.9223","0.9318","0.8899","0.8370"
"32","2","22","0.8620","0.8101","0.9031","0.5462"
"33","2","25","0.6967","0.8032","0.6928","0.8079"
"34","2","190","0.8778","0.8304","0.9197","0.9099"
"35","2","273","0.7768","0.9391","0.8575","0.8456"
"36","2","335","0.5110","0.9698","0.3082","0.8657"
"37","2","755","0.7296","0.8860","0.9176","0.7526"
"38","2","1520","0.6676","0.5100","0.8397","0.5734"
"39","3","8","0.2182","0.6696","0.1670","0.4111"
"40","3","12","0.7852","0.7159","0.8094","0.4732"
"41","3","13","0.8413","0.9530","0.9730","0.9268"
"42","3","17","0.9144","0.8164","0.9315","0.8868"
"43","3","18","0.8707","0.8595","0.7199","0.7380"
"44","3","20","0.7124","0.3972","0.9426","0.4943"
