"geneA","geneB","iRef","GEO","GO","pathW"
"1","1","5","0.8603","0.8787","0.9794","0.9321"
"2","1","14","0.9315","0.6920","0.8477","0.7955"
"3","1","102","0.8558","0.8697","0.7098","0.9296"
"4","1","224","0.8438","0.9030","0.8892","0.9731"
"5","1","243","0.7343","0.6815","0.8289","0.8476"
"6","1","348","0.9855","0.8820","0.9219","0.7744"
"7","1","449","0.6658","0.7658","0.7259","0.5774"
"8","1","553","0.9020","0.9686","0.9575","0.9588"
"9","1","608","0.8244","0.3982","0.6934","0.2484"
"10","1","635","0.8194","0.9765","0.8514","0.9794"
"11","1","636","0.9254","0.4462","0.8039","0.8004"
"12","1","694","0.4867","0.5801","0.9068","0.7157"
"13","1","721","0.9667","0.9924","0.9903","0.9854"
"14","1","785","0.7789","0.4938","0.8224","0.3677"
"15","1","794","0.3090","0.8090","0.4080","0.7207"
"16","1","830","0.7069","0.8448","0.6950","0.8795"
"17","1","898","0.9665","0.9641","0.9472","0.8720"
"18","1","962","0.8105","0.7323","0.8795","0.5979"
"19","1","1001","0.6838","0.6004","0.4842","0.7754"
"20","1","1121","0.6252","0.5147","0.5356","0.7240"
"21","1","1208","0.8729","0.6529","0.9007","0.9143"
"22","1","1430","0.9418","0.8836","0.9198","0.7808"
"23","1","1444","0.5866","0.9501","0.9503","0.9554"
"24","1","1573","0.8312","0.6409","0.6705","0.5413"
"25","1","1748","0.6194","0.7084","0.4701","0.8446"
"26","2","8","0.8577","0.6994","0.2661","0.7487"
"27","2","14","0.6207","0.7619","0.4604","0.8041"
"28","2","17","0.9034","0.9387","0.9677","0.9166"
"29","2","114","0.7159","0.8254","0.7638","0.7302"
"30","2","190","0.8625","0.8929","0.5863","0.5726"
"31","2","273","0.9223","0.9318","0.8899","0.8370"
"32","2","335","0.8620","0.8101","0.9031","0.5462"
"33","2","521","0.6967","0.8032","0.6928","0.8079"
"34","2","697","0.8778","0.8304","0.9197","0.9099"
"35","2","755","0.7768","0.9391","0.8575","0.8456"
"36","2","961","0.5110","0.9698","0.3082","0.8657"
"37","2","1017","0.7296","0.8860","0.9176","0.7526"
"38","2","1520","0.6676","0.5100","0.8397","0.5734"
"39","2","1600","0.2182","0.6696","0.1670","0.4111"
"40","2","1672","0.7852","0.7159","0.8094","0.4732"
"41","3","18","0.8413","0.9530","0.9730","0.9268"
"42","3","143","0.9144","0.8164","0.9315","0.8868"
"43","3","149","0.8707","0.8595","0.7199","0.7380"
"44","3","168","0.7124","0.3972","0.9426","0.4943"
"45","3","307","0.9257","0.8548","0.8428","0.8419"
"46","3","382","0.5114","0.8432","0.5197","0.2716"
"47","3","497","0.9684","0.7886","0.7916","0.9661"
"48","3","503","0.9077","0.9535","0.9221","0.8280"
"49","3","604","0.9476","0.5257","0.8553","0.8312"
"50","3","623","0.8784","0.8626","0.6843","0.5419"
"51","3","754","0.5805","0.6748","0.7182","0.8907"
"52","3","843","0.9745","0.8887","0.9263","0.9823"
"53","3","907","0.9355","0.8076","0.4739","0.7824"
"54","3","962","0.8348","0.7496","0.8474","0.5904"
"55","3","983","0.8579","0.8480","0.9308","0.6858"
"56","3","1365","0.9102","0.8351","0.6626","0.8521"
"57","3","1489","0.7631","0.9230","0.8697","0.8906"
"58","3","1785","0.7780","0.8482","0.9330","0.7318"
"59","3","1890","0.8387","0.6397","0.9533","0.6622"
"60","4","17","0.8593","0.8132","0.9414","0.9173"
"61","4","20","0.8105","0.9693","0.8756","0.9035"
"62","4","24","0.8662","0.9285","0.9171","0.8647"
"63","4","183","0.9271","0.7527","0.8713","0.7509"
"64","4","266","0.9164","0.8626","0.6702","0.9096"
"65","4","324","0.9151","0.8071","0.6676","0.8619"
"66","4","375","0.4479","0.8601","0.8158","0.5871"
"67","4","562","0.8305","0.8790","0.7842","0.8935"
"68","4","811","0.8823","0.7945","0.5685","0.7100"
"69","4","840","0.7617","0.5365","0.5176","0.8105"
"70","4","1224","0.5750","0.4447","0.2375","0.3624"
"71","4","1276","0.9444","0.9509","0.8754","0.7601"
"72","4","1509","0.8032","0.6282","0.6023","0.6080"
"73","4","1514","0.9165","0.8896","0.9020","0.8565"
"74","4","1551","0.9635","0.9155","0.9498","0.9249"
"75","4","1629","0.8143","0.6698","0.7347","0.8006"
"76","4","1694","0.8211","0.9542","0.9547","0.8950"
"77","4","1717","0.5714","0.7260","0.9801","0.9367"
"78","4","1893","0.4728","0.3549","0.4955","0.5843"
"79","4","1999","0.6189","0.8269","0.8049","0.9324"
"80","5","126","0.8513","0.9857","0.9576","0.8949"
"81","5","198","0.8082","0.6065","0.6329","0.7164"
"82","5","218","0.8278","0.8361","0.7054","0.8659"
"83","5","238","0.9044","0.7981","0.7294","0.9340"
"84","5","309","0.9690","0.8894","0.9578","0.9743"
"85","5","465","0.8301","0.8346","0.8056","0.9233"
"86","5","530","0.5721","0.1873","0.3024","0.5442"
"87","5","630","0.8727","0.7841","0.8644","0.8067"
"88","5","742","0.4976","0.3163","0.7306","0.0000"
"89","5","952","0.8948","0.7751","0.9370","0.6642"
"90","5","994","0.7563","0.7187","0.6168","0.5156"
"91","5","997","0.5827","0.5909","0.5919","0.5649"
"92","5","1000","0.6494","0.4526","0.7487","0.8222"
"93","5","1183","0.7106","0.8720","0.9172","0.8139"
"94","5","1356","0.7592","0.7534","0.6839","0.7838"
"95","5","1662","0.4646","0.4179","0.4103","0.8518"
"96","5","1718","0.5709","0.6039","0.9242","0.7697"
"97","5","1923","0.8550","0.6558","0.8898","0.7658"
"98","5","1949","0.6926","0.8249","0.8581","0.6563"
"99","6","15","0.8715","0.8042","0.6909","0.7147"
"100","6","117","0.9038","0.9505","0.7537","0.9601"
"101","6","196","0.7261","0.8036","0.8272","0.8767"
"102","6","327","0.8928","0.7596","0.8379","0.8747"
"103","6","588","0.7809","0.7906","0.5732","0.7152"
"104","6","986","0.6515","0.8241","0.5365","0.6292"
"105","6","1060","0.9281","0.9542","0.7381","0.8139"
"106","6","1272","0.4343","0.1390","0.4360","0.2862"
"107","6","1380","0.9478","0.4465","0.6915","0.7634"
"108","6","1403","0.9689","0.8861","0.9336","0.8091"
"109","6","1512","0.5306","0.4718","0.4163","0.4776"
"110","6","1675","0.8460","0.8382","0.8348","0.8726"
"111","6","1879","0.4562","0.6037","0.6055","0.5082"
"112","6","1884","0.7923","0.3682","0.5220","0.7573"
"113","6","1956","0.7188","0.9841","0.7348","0.9579"
"114","6","1968","0.9276","0.9767","0.9513","0.8029"
"115","7","10","0.6999","0.4180","0.5839","0.7029"
"116","7","136","0.7583","0.8934","0.9825","0.8273"
"117","7","222","0.6051","0.1871","0.8453","0.1543"
"118","7","259","0.8940","0.6890","0.6752","0.7458"
"119","7","322","0.9353","0.8904","0.8122","0.9583"
"120","7","351","0.9283","0.8732","0.7159","0.8840"
"121","7","368","0.9649","0.7988","0.7431","0.4734"
"122","7","397","0.8135","0.6397","0.4050","0.1321"
"123","7","403","0.6145","0.8455","0.9574","0.9148"
"124","7","441","0.9489","0.9788","0.9808","0.9892"
"125","7","502","0.4817","0.2417","0.3267","0.5271"
"126","7","705","0.8575","0.7407","0.8506","0.6841"
"127","7","906","0.9748","0.8491","0.9314","0.9807"
"128","7","933","0.6487","0.4259","0.6568","0.4927"
"129","7","996","0.9050","0.9488","0.7080","0.8538"
"130","7","1046","0.8113","0.3930","0.6093","0.6914"
"131","7","1059","0.9930","0.9261","0.9777","0.9838"
"132","7","1283","0.9517","0.7985","0.5780","0.7097"
"133","7","1288","0.5856","0.3640","0.3973","0.3557"
"134","7","1373","0.3336","0.4295","0.8096","0.4205"
"135","7","1426","0.9145","0.6655","0.7087","0.5352"
"136","7","1819","0.6067","0.6120","0.3704","0.7117"
"137","7","1888","0.8231","0.7847","0.8520","0.9499"
"138","7","1925","0.2557","0.2916","0.6512","0.3406"
"139","8","94","0.7316","0.6990","0.7698","0.7528"
"140","8","145","0.9394","0.9025","0.7932","0.7337"
"141","8","295","0.4051","0.2289","0.5191","0.5064"
"142","8","341","0.7254","0.8656","0.8865","0.9111"
"143","8","349","0.9537","0.9122","0.9459","0.8455"
"144","8","398","0.7982","0.9604","0.8833","0.8221"
"145","8","486","0.7690","0.9262","0.5500","0.7608"
"146","8","521","0.8923","0.8721","0.9507","0.5507"
"147","8","539","0.8340","0.6326","0.8107","0.8877"
"148","8","550","0.7475","0.2028","0.5090","0.5210"
"149","8","597","0.7781","0.8370","0.3628","0.8354"
"150","8","869","0.5432","0.7466","0.4153","0.9079"
"151","8","952","0.6953","0.5713","0.8248","0.6168"
"152","8","1004","0.9853","0.9473","0.9800","0.9422"
"153","8","1187","0.7835","0.7784","0.7384","0.6124"
"154","8","1673","0.8078","0.8121","0.8361","0.5261"
"155","8","1686","0.8050","0.7479","0.9301","0.9149"
"156","8","1741","0.9494","0.6711","0.8406","0.8908"
"157","8","1810","0.8483","0.8814","0.7595","0.9580"
"158","8","1835","0.6722","0.7766","0.8059","0.5346"
"159","8","1904","0.9044","0.9169","0.8886","0.9273"
"160","9","15","0.6892","0.7548","0.6074","0.2969"
"161","9","23","0.8903","0.9499","0.7307","0.8221"
"162","9","143","0.8231","0.8579","0.9520","0.5573"
"163","9","169","0.8067","0.9793","0.9814","0.9470"
"164","9","459","0.5699","0.9114","0.7103","0.8412"
"165","9","477","0.8943","0.6380","0.8917","0.6317"
"166","9","610","0.9398","0.9279","0.7609","0.8041"
"167","9","618","0.9599","0.8327","0.9022","0.8640"
"168","9","656","0.8070","0.5759","0.4999","0.5949"
"169","9","755","0.4799","0.4086","0.5510","0.4513"
"170","9","831","0.8720","0.9610","0.9573","0.7048"
"171","9","836","0.8433","0.6879","0.5810","0.9073"
"172","9","1011","0.9679","0.9844","0.8880","0.9679"
"173","9","1107","0.7534","0.9253","0.9568","0.8334"
"174","9","1150","0.7731","0.9817","0.9564","0.7835"
